,Team,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,WS_per_game,BPM,VORP,Player
0,TOR,0.483,0.349,0.777,33.413316582914575,14.983668341708542,7.685929648241206,3.443467336683417,79.5,3.4,36.3,Marc Gasol
1,TOR,0.441,0.343,0.807,16.8359375,7.08984375,2.1328125,1.21484375,7.3,-1.4,0.6,Norman Powell
2,TOR,0.529,0.31,0.748,23.612903225806452,10.165898617511521,5.142857142857143,1.976958525345622,15.7,2.3,5.5,Pascal Siakam
3,TOR,0.461,0.35,0.6,20.204225352112676,6.464788732394366,2.732394366197183,0.7183098591549296,5.0,-0.4,1.2,OG Anunoby
4,TOR,0.423,0.367,0.805,31.302217036172696,14.442240373395565,4.269544924154026,6.102683780630105,86.8,3.8,39.3,Kyle Lowry
5,TOR,0.514,0.356,0.761,28.713527851458885,12.348806366047745,7.290450928381963,0.7228116710875332,63.9,0.6,14.3,Serge Ibaka
6,TOR,0.415,0.398,0.836,20.325842696629213,8.415730337078651,2.235955056179775,3.3258426966292136,9.6,0.7,2.4,Fred VanVleet
7,,0.442,0.316,0.867,5.655172413793103,3.206896551724138,1.9655172413793103,0.06896551724137931,0.6,0.7,0.1,Chris Boucher
8,,0.444,0.429,0.875,7.72,2.92,0.8,0.16,0.4,-2.0,0.0,Malcolm Miller
9,,0.42,0.299,0.791,15.490445859872612,3.7261146496815285,1.464968152866242,1.1910828025477707,2.8,-2.3,-0.2,Patrick McCaw
10,,0.374,0.293,0.764,21.614035087719298,6.964912280701754,3.382456140350877,1.4842105263157894,3.3,-2.1,-0.2,Stanley Johnson
11,,0.444,0.223,0.739,23.632478632478634,9.893162393162394,5.8760683760683765,1.9658119658119657,9.1,-1.0,1.4,Rondae Hollis-Jefferson
12,TOR,0.333,0.333,,15.0,5.0,5.0,2.0,0.1,9.3,0.0,Terence Davis
13,,0.505,0.332,0.79,22.672566371681416,7.951327433628318,6.221238938053097,1.3915929203539823,24.4,1.6,9.2,Gorgui Dieng
14,MIN,0.446,0.355,0.842,27.748948106591865,12.711079943899017,2.4712482468443198,5.819074333800842,48.4,0.0,10.0,Jeff Teague
15,MIN,0.44,0.331,0.735,35.96009975062344,19.423940149625935,4.266832917705735,2.162094763092269,13.0,-2.5,-1.9,Andrew Wiggins
16,MIN,0.403,0.361,0.813,29.908256880733944,12.752293577981652,5.538226299694189,1.547400611620795,17.8,1.2,7.9,Robert Covington
17,MIN,0.386,0.279,0.729,23.613333333333333,7.746666666666667,2.9466666666666668,1.2533333333333334,1.4,-1.5,0.2,Josh Okogie
18,,0.423,0.25,0.643,16.766666666666666,5.033333333333333,2.7666666666666666,0.5666666666666667,0.3,-3.1,-0.1,Keita Bates-Diop
19,MIN,0.392,0.351,0.81,16.079310344827586,6.413793103448276,1.7241379310344827,2.0482758620689654,6.4,-1.6,0.5,Shabazz Napier
20,MIN,0.394,0.358,0.722,15.785714285714286,4.150793650793651,2.0317460317460316,0.8174603174603174,2.7,-1.8,0.1,Treveon Graham
21,MIN,0.536,0.394,0.836,34.44135802469136,22.29320987654321,11.867283950617283,2.5987654320987654,45.7,5.0,19.8,Karl-Anthony Towns
22,MIN,0.4,0.0,,16.0,4.0,2.0,0.0,0.0,-6.6,0.0,Jarrett Culver
23,MIN,0.459,0.305,0.714,12.387323943661972,4.669014084507042,1.823943661971831,0.5352112676056338,2.8,-1.6,0.2,Jake Layman
24,MIN,0.453,0.313,0.683,17.696666666666665,5.1,5.403333333333333,0.7633333333333333,8.3,-2.6,-0.8,Noah Vonleh
25,,0.57,0.0,0.647,12.776,3.88,3.128,1.424,4.5,1.7,1.5,Jordan Bell
26,BRK,0.427,0.38,0.821,25.573604060913706,11.421319796954315,3.8375634517766497,1.9746192893401016,4.7,-1.4,0.8,Taurean Prince
27,BRK,0.437,0.329,0.703,24.857988165680474,11.201183431952662,3.57396449704142,3.366863905325444,5.7,-0.7,1.4,Caris LeVert
28,BRK,0.589,0.183,0.725,23.352941176470587,9.581699346405228,6.9869281045751634,1.0457516339869282,11.9,1.6,3.2,Jarrett Allen
29,,0.409,0.1,0.0,4.333333333333333,2.111111111111111,0.5555555555555556,0.2222222222222222,-0.1,-10.4,-0.1,Džanan Musa
30,BRK,0.449,0.315,0.783,20.328125,8.34375,3.875,0.8125,1.6,-2.5,-0.1,Rodions Kurucs
31,BRK,0.476,0.429,0.797,22.634980988593156,9.384030418250951,2.8365019011406845,1.494296577946768,10.5,-0.5,2.2,Joe Harris
32,BRK,0.408,0.323,0.8,24.358267716535433,11.01968503937008,2.5866141732283463,4.519685039370079,13.4,-0.7,2.1,Spencer Dinwiddie
33,,0.493,0.381,0.883,36.87279151943463,27.02002355712603,7.05771495877503,4.106007067137809,141.7,5.1,55.7,Kevin Durant
34,BRK,0.67,0.091,0.467,28.181707317073172,9.558536585365854,10.845121951219513,0.8707317073170732,83.4,2.2,24.4,DeAndre Jordan
35,BRK,0.465,0.39,0.875,33.80550098231827,22.286836935166995,3.654223968565815,5.679764243614931,58.8,3.8,25.1,Kyrie Irving
36,,0.444,0.343,0.768,30.50390015600624,12.882995319812792,5.349453978159127,1.8190327613104524,28.3,-0.8,6.1,Wilson Chandler
37,BRK,0.408,0.353,0.729,20.279611650485435,5.867961165048544,2.1339805825242717,1.6194174757281554,11.3,-1.2,2.2,Garrett Temple
38,,0.342,0.261,0.864,11.722222222222221,4.5,2.0,1.1666666666666667,0.0,-4.8,-0.1,Theo Pinson
39,BRK,0.49,0.326,0.66,21.408450704225352,7.112676056338028,3.908450704225352,1.2112676056338028,4.6,-1.7,0.2,David Nwaba
40,,0.377,0.353,0.774,9.657894736842104,4.276315789473684,2.473684210526316,0.5657894736842105,0.3,-6.1,-0.8,Henry Ellenson
41,,0.387,0.32,0.82,15.590643274853802,5.701754385964913,1.8596491228070176,0.9064327485380117,1.8,-4.5,-1.6,Timothé Luwawu-Cabarrot
42,,0.477,0.277,0.714,25.40855106888361,8.764845605700712,5.589073634204276,1.190023752969121,21.2,-1.1,2.4,Michael Kidd-Gilchrist
43,CHO,0.511,0.25,0.74,22.947513812154696,8.243093922651934,5.792817679558011,1.3701657458563536,24.2,0.8,5.9,Cody Zeller
